,text,target
24,tidak salah siapa hanya cerita salah diri dan kondisi covid yang sangat resah baru awal tatap muka jawa barat moga depan sekolah tatap muka jadi lebih baik merdekabelajar,Relevant
25,pribadi mmg tuju anak masuk tatap muka rapat ortu tolak bahkan klo paksa tatap muka thn sdh rencana anak undur diri sekolah drpd hrs hilang nyawa anak wlw mnrt ortu mikirnya terlalu jauh ini nyata,Relevant
26,pleasee baru inget besok sekolah tatap muka terus banyak tugas padahal dah niat kumpul besok lupa gara main twitter,Relevant
27,sumpah bulan puasa blm siap bngt sekolah tatap muka asa baru masuk benget udah pucet ajee,Relevant
28,cah sekolah paksa uji coba tatap muka padahal ngkosik lah sabar sik delo maneh,Relevant
29,cah sekolah paksa uji coba tatap muka padahal ngkosik lah sabar sik delo maneh,Relevant
30,dah suruh ngisi angket tuju klo sekolah tatap muka tpi gamau,Relevant
31,ngapa napsu banget sekolah tatap muka sih sabar dulu sebentar ngapa,Relevant
32,sekolah tatap muka boleh hehehe,Relevant
33,tiba tiba umum bakal sekolah tatap muka langsung dag dig dug serr gila takut materi banyak blm paham skjdjsjo,Relevant
34,beneran bayang ntar kalo sekolah tatap muka gimana kasi guru murid cuma ngerti sama dijelasin ajar menit langsung lupa hasil observasi sepupu bocil komplek,Relevant
35,kondisi kayak gin mau sekolah tatap muka,Relevant
36,pernah baca beberapa waktu lalu daerah mulai terap sekolah tatap muka tiba salah satu terkean covid,Relevant
37,kaya gin menteri nyuruh buka sekolah tatap muka pandemi langsung pak sudah kasih bukti,Relevant
38,emang capek aja nih aku kak sekolah tatap muka tambah gtw batin juga capek huhu,Relevant
39,makanya kmrn aku msh tuju sekolah tatap muka hud anak disiplin prokes anak orang belum pas balikin buku petpustakaan aja gak pakai masker bener,Relevant
40,kayak gitu masih mau paksa sekolah tatap muka lama masa pandemi belum akhir,Relevant
41,udah terlalu lama sekolah tatap muka pas kabar mau dilaksanain malah males excited dulu,Relevant
42,bang tular wfo lho sekolah buka tatap muka,Relevant
43,bang baru sekolah tatap muka untung teriak,Relevant
44,sekolah tatap muka macam uji nyali berani sila maju duluan tetap tahan semangat tetap prokes,Relevant
45,baru guru kumpul sekolah bayang bencana jadi klu ajar tatap muka,Relevant
46,makany pihak pemda sekolah pinter menganalisa ada jgn maksa tatap muka klo belum sadar usaha bnyk pihak semua jalan lancar,Relevant
47,sekolah tatap muka kurang tuju soal pas ajar matematika guru sama murid kadon papelong pelong teu kaeusian,Relevant
48,males bsk sekolah tatap muka hue,Relevant
49,dok berita sekolah terap tatap muka guru aja masuk wfo sesuai jadwal diknes jateng guru tular keluarga,Relevant
50,klu begitu ken anak sekolah tatap muka anak saja pak pindah sekolah tatap muka,Relevant
51,yaallah tanggal uji sekolah tatap muka paham apa apa gimana,Relevant
52,sekolah tatap muka terlalu resiko,Relevant
53,cape bgt sekolah tatap muka,Relevant
54,knp uji sekolah nya tatap muka sumpah takut gak ngisinya,Relevant
55,gimana dunia didik pak kok gak dukung sekolah tatap muka,Relevant
56,tuju bgt pagi nganter ibun sekolah buat ngajar tatap muka telah tahun guru utama ibun vaksin padahal guru sekolah udah rasa campur aduk cuma doain aja biar lancar,Relevant
57,kuatirkan buka sekolah tatap muka terlalu awal krn bawah thn blm tau akn vaksin kapan ini akn otg sekolah buka tatap muka,Relevant
58,serptinya bakal jarang deh sekolah ngapain sih pake ngadain tatap muka vaksin dulu noh bener sekolah dah dapet kok sekolah bom malah swab doang positif tinggal gitu nyuruh tatap muka kucing nyawa,Relevant
59,uji cobak sekolah tatap muka muncul kasus baru sekolah itu lockdown libur anak gak tau tem sekolah sampai mereka lulus,Relevant
60,hari pertama sekolah tatap muka siswa istimewa rewel mau masuk kelas wkwkw okay sipp,Relevant
61,kelas anak ortu udah survei tuju sekolah tatap muka embel prokes ketat menang lipat selaku tuju ketar tir nih,Relevant
62,biasa sekolah kalo umum selalu dadak semalem jam tbtb umum hari masuk sekolah tatap muka give time buat cerna dulu loh,Relevant
63,saat ini gua benci banget sekolah tatap muka,Relevant
64,anjir apa coba saat orang orang libur sekolah gue malah sekolah tatap muka magerr tau gaa mana bulan puasa walaupun gue sekarang cuti anj,Relevant
65,apa cuma sekolah gue aja dari awal udh tatap muka,Relevant
66,karna sekolah gue pilih ajar tatap muka jdi gin nih elah mana tadi saur,Relevant
67,huhu hari sekolah nya tatap muka,Relevant
68,suratno tegas sma negeri gondang terap bijak ajar tatap muka ptm sekolah,Relevant
69,beneran udah sekolah tatap muka vaksin semua belum padahal vaksin belum kebal sama virus,Relevant
70,jateng jatim angka testing tracing nya rendah patuh prokes nya rendah sudah ada tatap muka sekolah bulan lebih biar cuma nonton aja apa jadi kemudian nekat sekali mereka,Relevant
71,suratno tegas sma negeri gondang terap bijak ajar tatap muka ptm sekolah tatap muka meski bagi guru tetap masuk sekolah sesuai bijak wfh wfo dinas didik jawa tengah,Relevant
72,pulkam sendiri karna muk sekolah tatap muka,Relevant
73,pulkam sendiri karna muk sekolah tatap muka,Relevant
74,males sekolah tatap muka,Relevant
75,artikel sekolah sebut ptm gus suratno tegas sma negeri gondang terap bijak ajar tatap muka ptm sekolah tatap muka,Relevant
76,artikel sekolah sebut ptm suratno tegas sma negeri gondang terap bijak ajar tatap muka ptm sekolah tatap muka,Relevant
77,gais mending lanjut tidur apa aku sekolah sih pagi mana tatap muka,Relevant
78,sekolah tatap muka saat cepat jumlah screening daerah jauh kata ideal,Relevant
79,maless sebenernya kakk huhuu terimakasih banyaak moga beneran tatap muka full satu sekolah tatap muka biar seru aamiin,Relevant
80,hari aku sekolah tatap muka maless,Relevant
81,besok sekolah tatap muka malas sekali,Relevant
82,selasa dah sekolah tatap muka aku gapunya temen help padahal udah mau naik kelas,Relevant
83,duh sekolah tetap paksa kbm tatap muka,Relevant
84,sekolah ndadak mode offline tatap muka kedandappan dong penjaitnya dikroyok ibu buat sragam anak,Relevant
85,gue baru inget kalo besok senin besok sekolah tatap muka,Relevant
86,masa habis libur sekolah nya langsung tatap muka semua tpi males,Relevant
87,mau nang kek mau mewek kek bodo mudik gak sekolah tatap muka gak bole promosi nonton bioskop,Relevant
88,semangatin gue besok kbm tatap muka sekolah ajar pertama mtk wajib alias gue ngerti apa apa ajg,Relevant
89,terlalu gegabah sangat riskan sekali saat ada sekolah kuliah tatap muka,Relevant
90,yah aku mulai besok sekolah tatap muka,Relevant
91,besok gue sekolah tatap muka jiakhh,Relevant
92,hadeh besok dah sekolah tatap muka aja,Relevant
93,nyit nyiapin protokol anak sekolah mau mulai tatap muka ngelu kan maen syap syap antar jemput pak anak,Relevant
94,sekolah gue jadi bahan uji coba tatap muka mls bgt dhh,Relevant
95,bsk sekolah tatap muka asw,Relevant
96,iya gemes sih sebenernya gemes ken motong rambut kalo udah kuncir biasa udah gondrong kalo pandemi sekolah tatap muka udah jadi korban razia rambut sama guru,Relevant
97,sekolah sekolah udh mulai tatap muka nih bntr kuliah tatap muka aduh sumpah siap online aja jadwal ajar sama peaktikum nya udh padet bgt offline kaya hidup bakal kampus kos kampus kos,Relevant
98,aku ken tatap muka takut paling bodoh sekolah,Relevant
99,kaan kaan ortu maksa sekolah tatap muka mana kok komen,Relevant
100,ngsh tau bapa negara bhwa juli mulai msuk sekolah tatap muka awal iya sok iya sok aja ujung tbtba awas jgn stres jaga hati utama abang suka liat berita kalo guru selingkuh kepsek lah guru olhrga lah hmm kola aja bom udh bawelin ajj,Relevant
101,plis gue siap kalo mulai besok sekolah udah tatap muka,Relevant
102,galo ketika besok anak bisa masuk sekolah tatap muka ndak mau motong rambut anak gondrong nya sayang banget,Relevant
103,bantu jawab sekolah tatap muka skrg awas nya beberapa tempat lebih jaga proto,Relevant
104,sanggup bayang ancam depan mudik lebaran mulai sekolah tatap muka apa alas,Relevant
105,buat orang tua tentang sekolah buka takut anak anak kena covid konsisten jangan seko,Relevant
106,bantu jawab sekolah tatap muka skrg awas nya beberapa tempat lebih jaga proto,Relevant
107,bantu jawab sekolah tatap muka skrg awas nya beberapa tempat lebih jaga proto,Relevant
108,,Relevant
109,sanggup bayang ancam depan mudik lebaran mulai sekolah tatap muka apa alas,Relevant
110,kok sekolah tatap muka pas puasa anjg,Relevant
111,kok sangsi sekolah mau tatap muka kemaren aja liat pulang sekolah pake masker,Relevant
112,wah semua sekolah boleh mulai kelas tatap muka langsung indonesia kasus sangat tinggi moga pandemi segera selesai anak anak boleh kembali sekolah tenang bahagia,Relevant
113,buat orang tua tentang sekolah buka takut anak anak kena covid konsisten jangan seko,Relevant
114,kalo aku sih bangett waktu kelas sekolah offline dulu jidat beruntus semua full iseng iseng waktu pandemi ajar skincare awal awam aku asal beli night cream sama toner pake toner ilang dong jadi mulus kinclong,Relevant
115,kalo kelas offline since gue kenal deket sama seluruh staf jurus fakultas absen udh bawah minimal pake cara ninja ngopi soal tugas biasa tugas besar studio uts uas alhamdulillah sih gapernah miss emg males masuk kelas pagi bgt,Relevant
116,tau moga pas naik kelas aja tkutnya suruh pas offline,Relevant
117,kalian takut gak sih pas masuk kuliah offline kaget soal udah biasa suasana kelas online,Relevant
118,apasii gajelas bgt anjngg nama anak kelas ngerasain sekolah offline aja bom bacotin segi,Relevant
119,soal nih betul aku sdg alami salah satu oknum ngehasut temen kelas buat jauhin aku wkwkw jadi kek arghh males mau offline ketemu setann semua isi,Relevant
120,bener banget smt pertama kali offline dapet kelas lantai atas mulu bawa icd bisa lebih rasa definisi wkwk,Relevant
121,tai bgt hri kelas offline kampus anjir tinggal byk bgt hybe sabar dong,Relevant
122,bayang kalo kelas offline,Relevant
123,gue baru inget kelas bakal uprak males bgt gila mending uprak online offline,Relevant
124,kelas offline jam baru bangun jam,Relevant
125,aku kelas praktek offline itu wajib soal kan ada tuju ortu terus kalau rumah jauh dikumpulin satu grup aku gatau sih solusi mereka gimana tanya aja kak cuman jangan cecer terus,Relevant
126,debat aja terus kelas online kelas offline penting saya sidang online wisuda offline hehe,Relevant
127,kalo prodi gua sih kayak sama aja deh nder deadlinenya sama cuma beda pas offline lebih kerepot karna kelas kelar sore jam trs waktu transport jam kalo macet istirahat nafas rumah jadi begadang kalo skrg kan santuy tuh,Relevant
128,kelas online gin telat menit bisa acc room zoom gatau kalo offline dah usir kali,Relevant
129,sukaa semenjak daring soal kalo offline aku tidur awal kelas kipas pas jam ajar dinyalain semua gimana gak ngantuk coba coba waktu kls,Relevant
130,makin malas sekolhh tatap muka krna penyemngatnya beda kelas,Relevant
131,mau cerita ngeri kalo sekolah buka jadi minggu mama guru uda mulai tatap muka sama murid cuma buat uji kelas jadi masuk kelas bagi jadi kelas kelas isi cuma jam,Relevant
132,cek kelas deh kabar offline aku takut bgt pas masuk sekolah jadi goblok,Relevant
133,nyata sekolah udah mulai offline sekarang mungkin habis kuliah offline padahal aku udah nyaman kuliah online,Relevant
134,takut hilang mahasiswa sampe bela bain kuliah offline padahal tangan pandemi aja blm becus kayak mau tanggung jawab aja kalo tinggal krn covid,Relevant
135,oke saat bikin janji kalo kuliah offline beli ngombe cuma kali minggu,Relevant
136,tidaak kuliah offline cuma hari minggu hahaha,Relevant
137,siap kuliah offline glowing soal,Relevant
138,liat berita covid makin aja ragu kuliah offline,Relevant
139,tuh bisa colong warga negara india masuk gua buka apa gua udh bosen online kayak gua sayang bayar kuliah gua mah offline biar gua banyak alam bukan rumah begini arghh aja heran bisa tahan bandara suruh balik,Relevant
140,gasiap kuliah offline,Relevant
141,kangen kuliah offline dlu,Relevant
142,kok rada takut klo kuliah offline huehuehue,Relevant
143,mls kuliah offline hrus makeup tambah,Relevant
144,siap kuliah offline udah nyaman online soal,Relevant
145,mampus kuliah offline,Relevant
146,mahasiswa kapan kuliah offline prodi form kuliah praktikum luring mahasiswa panik,Relevant
147,usah kuliah offline woii udh nyaman ama ctrl,Relevant
148,takut kuliah offline karna,Relevant
149,sekolah offline,Relevant
150,astaghfirullah sekolah offline,Relevant
151,btw hari gue sekolah offline pliss,Relevant
152,males bgt sekolah offline,Relevant
153,allah siap sekolah offline takut sering telat kek smp anjr paling gasik sampe seko jam,Relevant
154,aku abis sekolah offline huhu,Relevant
155,gue ken masuk offline tuh dulu karna beneran kangen sekolah skrg udah biasa daring lebih enak jdi males offline jadinyaa,Relevant
156,kontra corona banyak klo sekolah offline takut tingkat ngorbanin nyawa orang lebih banyak,Relevant
157,mls sekolah offline astagfirullah,Relevant
158,males bgt puasa gin kuliah offline,Relevant
159,moga kuliah nya offline aamiin online lebih gapapa,Relevant
160,mau kuliah offline dulu ipk bagus gantung google yutub,Relevant
161,benar kering uang aku semenjak kuliah offline,Relevant
162,mau mlg aja gamau kuliah offline,Relevant
163,kulon aja impression aku aja dah buruk gimana kalo dah kuliah offline yah bully kali aku,Relevant
164,puasa ngedrop mana bsk kuliah offline,Relevant
165,besok sekolah offline males,Relevant
166,anjir tanggal gue sekolah offline,Relevant
167,masa bulan udah sekolah offline benrr ajadongg,Relevant
168,gabutt scroll tiktok brain uji tugas makalah tanding sekolah offline galau kuliah les les les les,Relevant
169,males banget sekolah offline,Relevant
170,berisik sumpah berisik absen aja perlu menit ampe nelpon wali kelas segala ribet makin kesini makin ken sekolah offline waktu ajar cuma buat marah kaga ajar,Relevant
171,besok gwe sekolah offline males bgt,Relevant
172,mager sekolah offline,Relevant
173,besok gue masuk sekolah offline nsxhisndkxiasksh takot,Relevant
174,yaampun denger juli sekolah udh tatap muka pas denger kabar kalau wna bondong bondong indonesia jadi kesel knp kesel karna udh muak sekolah online woey pihak tanggung jawab tegas wnanya,Relevant
175,masa uda mau list ortu tuju tatap muka sekolah,Relevant
176,besok sekolah tatap muka moga gak tidur aja,Relevant
177,sekolah guasa tatap muka dulu cape rumah ajg gegara copid,Relevant
178,yang hormat perintah cinta klarifikasi kena larang mudik larang tatap muka sekolah hal yang bentuk ramai tetap boleh mohon banget simpang siur juga masyarakat tidak pikir negatif,Relevant
179,waspada second wave mutasi virus justru luar negeri sudah lebih longgar duluan indonesia tetap patuh prokes tunda tatap muka sekolah hingga awal tahun depan bahkan gila beberapa kampus kirim mahasiswamya ajar,Relevant
180,prinsip depan mau sekolah gak tatap muka,Relevant
181,lalu sbg orang tua panas akhir ngambil putus riskan bgt buat tatap muka awal sekolah tempat paling sulit kontrol ini taman kanak kanak,Relevant
182,susah bgt balik zona hijau mentok zona kuning balik merah bayangin tuh pihak sekolah read aku pribadi gak mau ambil resiko jgn krna lihat sekolah paksa buat tatap muka entah sembunyi gak pake seragam segala macem,Relevant
183,beberapa kali org tua usul sekolah tatap muka padahal jelas blm izin perintah tempat daerah syarat tatap muka guru sudah vaksin semua kita baru bagi jadwal bulan depan daerah sekolah selalu zona merah cont,Relevant
184,bsk sekolah tatap muka mapel buat bsk tugas cuma lebih blm aku kerjain mampuss,Relevant
185,makin malas sekolah tatap muka karna karna semangat nya beda sekolah,Relevant
186,apa besok sekolah tatap muka kamiss yaallah dada bngt,Relevant
187,aduh smap udah mau tatap muka offline bntr sekolah gue,Relevant
188,frend aku frustasi sekolah lanjut tatap muka,Relevant
189,harraahh trus yok opo panik sekolah tatap muka sini,Relevant
190,anj lupa besok masuk sekolah tatap muka,Relevant
191,anjrottie tiba suruh ajar tatap muka sekolah mana tugas numpuk,Relevant
192,males bgt sekolah tatap muka,Relevant
193,sekolah tatap muka aja kena lockdown,Relevant
194,ini bro gak jadi sekolah tatap muka,Relevant
195,emosi antisipasi kait siap seleksi laku daerah sambut uji coba sekolah tatap muka muncul emosi trust percaya banyak cuit isi cuit dukung rencana uji coba ajar tatap muka batas,Relevant
196,kek masuk sekolah tatap muka sebentar tpi tugas blm selesai semua,Relevant
197,gilir mau tatap muka begini berita padahal gak siswa ajar tempat wisata mall karaoke pub buka gak berita ginian ratus karyawaan mall cafe tempat wisata karaoke positip covid bagi tinggal dunia negeri aneh sekolah aja,Relevant
198,pro jujur gue suka kelas online gue perlu ketemu orang gue ajar sendiri gue perlu kesel orang tunjuk sekolah offline gue dapet nilai lebih banyak guru aktif ngasih tanya jawab batas materi tugas,Relevant
199,sch gais kelas kalian udh sekolah offline emg sekolah barusan ngumumin mau mulai offline senin besok kok tiba banget,Relevant
200,askrl gais kelas kalian udh sekolah offline emg sekolah barusan ngumumin mau mulai offline senin besok kok tiba banget,Relevant
201,tau aku inten lebih mahal buat kondisi pandemi kayak gin kayak lebih worth deh gantung nya sih krn aku ngambil kelas offline kalo anak mager kyk aku aku saranin inten krn inten nge wajib buat bikin bahas,Relevant
202,selasa dah sekolah tatap muka aku gapunya temen help padahal udah mau naik kelas,Relevant
203,yakin mau kuliah negara iya gampang sih masuk lulus hidup mati uji online aja begini nilai offline ckckck,Relevant
204,bener uda ambil kunci garek metu lho isoke ganti klambi siapa plis bantu keluar habit buruk gasiap kuliah offline lek ngene carae,Relevant
205,bangun tidur ditanyain sarap takut makin manja gimana kalo jadi kuliah offline,Relevant
206,yaallah please jgn dulu kuliah offline sampe sidang kompre,Relevant
207,anjir bokap maksa kuliah offline nyokap bilang september aja bodo gak udah ngisi,Relevant
208,gilee kuliah offline mulai mei osce offline dong bgt skill lab onlen osce offline,Relevant
209,minggu depan kuliah offline,Relevant
210,pertama kali kuliah offline allah niat mau cari ilmu malah insecure,Relevant
211,ken banget kuliah offline ken banget kuliah offline,Relevant
212,lebih baik kabur tangerang selatan drpd kuliah offline,Relevant
213,pliss gmau kuliah offline gasiap ketemu sama temen baru,Relevant
214,kok gue takut kuliah offline takut aja gitu tolol nya liat,Relevant
215,kangen dikit kuliah offline gue gak kangen kalo mau uji soal stress banget anjg,Relevant
216,pikir ntar kalo udah kuliah offline bakal capek kereta sidoarjo lidah wetan,Relevant
217,anjing kuliah offline nyata tahun lalu,Relevant
218,kuliah offline aja dah gin,Relevant
219,kalo misal kuliah offline siapa bakal nerusin warung payu,Relevant
220,ken kuliah offline mager tugas malah makin banyak kuliah online rasa anggur masuk surga aja emang udah paling debest,Relevant
221,kok aku tida siap kuliah offline ahahaha,Relevant
222,kuliah offline perkoraan bentar takut gua mulai muncul,Relevant
223,kambek pas aku jadi maba kuliah offline pls,Relevant
224,kadang mikir males kuliah offline,Relevant
225,gaenak bngt senin udh sekolah offline,Relevant
226,senin udah masuk sekolah offline,Relevant
227,huhu senin udah sekolah offline kalian gimana,Relevant
228,yaallah males banget selasa udah sekolah offline,Relevant
229,makin mager sekolah offline wkakaka,Relevant
230,plis anjg gue sedih bgt sekolah offline gabakalan ketemu aksgajsg fak,Relevant
231,halah percuma sekolah offline kasi duit jajan,Relevant
232,sch guys minta semangat aku mau sekolah offline belum siap makasih banyak,Relevant
233,besok sekolah offline,Relevant
234,bulan depan sekolah offline nanggung bet elah bapak guru semester depan aja,Relevant
235,diizinin sekolah offline another happiness for wakakakakak,Relevant
236,males sekolah offline bolos gas,Relevant
237,sekolah offline kuontoll,Relevant
238,gbsa hrus tidur bgimna alias pagi sekolah offline,Relevant
239,gue gasiap pat offline anjrit sekolah gue udh pat offline say,Relevant
240,lagi sekarang mah sekolah online sekolah offline aja dulu sampe les krn gak nyantol sama jelas guru mamak mau ngajarin anak pasti keburu adu bacot duluan sih alam ngajarin sepupu sendiri malah lebih banyak adu bacot urat drpd,Relevant
241,besok sekolah offline,Relevant
242,masa sih tuju bener sekolah gue gaada tuju hshahhsaah rem sih mau offline,Relevant
243,allah baru inget besok jadwal sekolah offline,Relevant
244,besok sekolah offline males bgtt,Relevant
245,aku tuh gamau sekolah offline karna kalo online leboh produktif,Relevant
246,bisa uji sekolah offline,Relevant
247,padahal besok sekolah offline anjrit,Relevant
248,aih males banget besok sekolah offline,Relevant
249,allah gue mingdep uji offline alias sekolah anjg,Relevant
250,capek bgt sekolah offline,Relevant
251,kok enak banget gue malah sekolah offline,Relevant
252,besok sekolah offline males bat mandi pagi anjrit siapa sih suka mandi pagi,Relevant
253,adh selasa gue sekolah offline,Relevant
254,males banget minggu depan sekolah offline,Relevant
255,hari sekolah offline,Relevant
256,bener bgt blm ngerasain sekolah offline jadi dkt sama temen kelas but ikut osis nah osis sering bgt rapat ngadain acara offline jadi lumayan kenal sama tmn osis awal kenal oke oke baru bener bener kaget nyata rata rata mreka face,Relevant
257,klo sekolah offline liat orgnya hati uda ngedumel gajelas,Relevant
258,semenjak sekolah offline jadi males takut buka,Relevant
259,takut banget klo misal semester depan beneran sekolah offline bukan gmn masalah ngomong kalimat pak sariroti bata kyk maling,Relevant
260,bisa nyokap gue nanya dulu adek gue udah sekolah offline kamu mau sekolah gak besok adek also adek gue lah aku mau rebah aja rumah sekolah online gue like sekolah aja dek kakak besok sks anjir brisik kamu kan,Relevant
261,huufft cape bgt sekolah offline blm beres,Relevant
262,sekolah offline pas puasa kaya cacing panas,Relevant
263,aku takut mau sekolah offline,Relevant
264,ken tidur jam masuk sekolah offline takut gbsa bangun lgi,Relevant
265,besok aku sekolah offline,Relevant
266,sekolah offline bikin males bgt plis,Relevant
267,sekolah offline lgi pulang siang hua,Relevant
268,gasiap klo sekolah offline gapunya temen,Relevant
269,hari sekolah offline deg deg banget malu takut,Relevant
270,hua sekolah offline hari,Relevant
271,hadeh besok sekolah offline,Relevant
272,besok gue sekolah offline males banget,Relevant
273,besok sekolah offline,Relevant
274,nang besok sekolah offline,Relevant
275,senin sekolah gua mulai tatap muka anj paham apaapa,Relevant
276,aku sekolah offline,Relevant
277,sekolah offline bikin cape bgt,Relevant
278,gue hari sekolah offline kepala gue pusing gmn,Relevant
279,duh sekolah offline,Relevant
280,bsk sekolah offline hari kdu swab anj,Relevant
281,sekolah offline pulak,Relevant
282,aku malah udah sekolah offline,Relevant
283,besok gue sekolah offline males bgt,Relevant
284,gausah ingetin karna besok gue sekolah offline,Relevant
285,gabisa bayangin udh pas puasa gin jam tidur beranta trs sekolah offline,Relevant
286,aku besok sekolah offline,Relevant
287,besok beneran sekolah offline dong,Relevant
288,besok udah sekolah offline,Relevant
289,what anjir gue sekolah tatap muka,Relevant
290,gue besok senin udah sekolah tatap muka sebel,Relevant
291,awas gelombang dua perintah ada masalah apa sii gimana mau buka sekolah tatap muka klo gin indonesia blm selesai gelombang pertama lndia sedang gelombang,Relevant
292,moga juli bsk gajadi sekolah offline aamiin,Relevant
293,takut bgt anj kuliah offline aneh bgt tbtb kelas kiri kanan orang biasa kan kiri kanan kasur lemari,Relevant
294,aja kelas ngerti apa apa pdahal offline thn,Relevant
295,untung kelas online klo offline sanggup nahan malu pas kelas,Relevant
296,hduh simulasi tatap muka nieh kelas,Relevant
297,jawab aku tambah bingung jelas gamungkin banget kalau kelas ajar tatap muka buat apa giat apa proof gform nyata tuju wali gaada pilih kelas,Relevant
298,gue udah enek banget kuliah online pinter kaga ada lama dapet sakit tulang plis lahh jangan aneh aneh dulu gue udah gasabar juni kuliah offline,Relevant
299,heran kemaren ngerengek minta kuliah offline sekarang gilir udah mau offline bilang udah nyaman kulia,Relevant
300,heran kemaren ngerengek minta kuliah offline sekarang gilir udah mau offline bilang udah nyaman kuliah online kaya tuhan canda deh,Relevant
301,siap kuliah offline,Relevant
302,bayang klo kuliah offline aku gila apaa ayo online aja sem depan,Relevant
303,bener bosen bgt kuliah offline kaya gin,Relevant
304,online karna dri awal masuk kuliah udh onlen jdi klo tbtb offline takut aja orang udh punya circle notabennya anak rantau lebih takut punya temen,Relevant
305,kalo online ngerjain tugas nya bisa kalo offline ntar tahu bisa huhu tpi gimna kan kalo pikir kayak gitu nya maju ntar jadi kuliah offline biar tauu gimn,Relevant
306,beda banget kuliah offline tubuh aku lebih capek bolak balik lab terus makan ngga atur waktu istirahat nya ngga cukup ngantri akhir makan hari sekali waktu pulang malam aja online lebih fleksibel tugas banyak jujur enak online,Relevant
307,udah nyaman malang jadi males kuliah offline jogja masa,Relevant
308,yaallah mas dendam bgt abis liat jadwal kuliah minggu bsok ttp masuk matkul offline kyk gada rasa manusia bgt,Relevant
309,lawak bgt boleh kuliah offline punya ktp bandung doang,Relevant
310,rasa nya gue bnrbnr gamau offline misal kuliah bulan juli nnti bnrn offline pgn dirmh aja mak guee,Relevant
311,sangat nanti kuliah offline,Relevant
312,beneran mager kuliah offline mana ujan gin mending tidur,Relevant
313,entah skrg sibuk nya organisasi kuliah online sering kampus buat rapat macam jadi asa kuliah offline,Relevant
314,iya aku tau aku ngampus sana paksa offline balik kampus masuk kuliah objek teliti beda kota angkat,Relevant
315,kuliah offline huhu,Relevant
316,siap kuliah offline,Relevant
317,gak sih engga usah kuliah gua mau cari duit aja jujur capee baru semester online kalo offline apa stress gua,Relevant
318,cape bgt badan sakit semwaa gmn klo sekolah offline nnti,Relevant
319,sedi banget senin pagi ikut streaming gara sekolah offline,Relevant
320,kok orang ken sekolah offline,Relevant
321,males banget sekolah offline,Relevant
322,males bngt sekolah offline,Relevant
323,senin masuk sekolah offline,Relevant
324,cokk males sekolah offline akuu males ketemu uwongg,Relevant
325,uji sekolah offline gila,Relevant
326,serius mah sekarang males masuk sekolah offline padahal dulu pgn banget haha,Relevant
