,text,waktu,jumlah kata,jam,label
34,beneran bayang ntar kalo sekolah tatap muka gimana kasi guru murid cuma ngerti sama dijelasin ajar menit langsung lupa hasil observasi sepupu bocil komplek,2021-04-19 12:58:09+00:00,24,siang,1
35,kondisi kayak gin mau sekolah tatap muka,2021-04-19 12:56:48+00:00,7,siang,1
36,pernah baca beberapa waktu lalu daerah mulai terap sekolah tatap muka tiba salah satu terkean covid,2021-04-19 11:11:04+00:00,16,siang,1
37,kaya gin menteri nyuruh buka sekolah tatap muka pandemi langsung pak sudah kasih bukti,2021-04-19 10:02:47+00:00,14,siang,1
38,emang capek aja nih aku kak sekolah tatap muka tambah gtw batin juga capek huhu,2021-04-19 09:49:16+00:00,15,siang,1
39,makanya kmrn aku msh tuju sekolah tatap muka hud anak disiplin prokes anak orang belum pas balikin buku petpustakaan aja gak pakai masker bener,2021-04-19 08:32:22+00:00,24,pagi,1
40,kayak gitu masih mau paksa sekolah tatap muka lama masa pandemi belum akhir,2021-04-19 07:31:52+00:00,13,pagi,1
41,udah terlalu lama sekolah tatap muka pas kabar mau dilaksanain malah males excited dulu,2021-04-19 07:21:51+00:00,14,pagi,1
42,bang tular wfo lho sekolah buka tatap muka,2021-04-19 06:41:09+00:00,8,pagi,1
43,bang baru sekolah tatap muka untung teriak,2021-04-19 06:26:09+00:00,7,pagi,1
44,sekolah tatap muka macam uji nyali berani sila maju duluan tetap tahan semangat tetap prokes,2021-04-19 04:53:50+00:00,15,pagi,1
45,baru guru kumpul sekolah bayang bencana jadi klu ajar tatap muka,2021-04-19 04:35:31+00:00,11,pagi,1
46,makany pihak pemda sekolah pinter menganalisa ada jgn maksa tatap muka klo belum sadar usaha bnyk pihak semua jalan lancar,2021-04-19 04:19:02+00:00,20,pagi,1
47,sekolah tatap muka kurang tuju soal pas ajar matematika guru sama murid kadon papelong pelong teu kaeusian,2021-04-19 03:55:35+00:00,17,pagi,1
48,males bsk sekolah tatap muka hue,2021-04-19 03:49:02+00:00,6,pagi,1
49,dok berita sekolah terap tatap muka guru aja masuk wfo sesuai jadwal diknes jateng guru tular keluarga,2021-04-19 03:34:16+00:00,17,pagi,1
50,klu begitu ken anak sekolah tatap muka anak saja pak pindah sekolah tatap muka,2021-04-19 03:27:11+00:00,14,pagi,1
51,yaallah tanggal uji sekolah tatap muka paham apa apa gimana,2021-04-19 03:26:14+00:00,10,pagi,1
52,sekolah tatap muka terlalu resiko,2021-04-19 02:38:30+00:00,5,pagi,1
53,cape bgt sekolah tatap muka,2021-04-19 02:31:15+00:00,5,pagi,1
54,knp uji sekolah nya tatap muka sumpah takut gak ngisinya,2021-04-19 02:12:16+00:00,10,pagi,1
55,gimana dunia didik pak kok gak dukung sekolah tatap muka,2021-04-19 02:07:46+00:00,10,pagi,1
56,tuju bgt pagi nganter ibun sekolah buat ngajar tatap muka telah tahun guru utama ibun vaksin padahal guru sekolah udah rasa campur aduk cuma doain aja biar lancar,2021-04-19 01:45:04+00:00,28,pagi,1
57,kuatirkan buka sekolah tatap muka terlalu awal krn bawah thn blm tau akn vaksin kapan ini akn otg sekolah buka tatap muka,2021-04-19 01:40:23+00:00,22,pagi,1
58,serptinya bakal jarang deh sekolah ngapain sih pake ngadain tatap muka vaksin dulu noh bener sekolah dah dapet kok sekolah bom malah swab doang positif tinggal gitu nyuruh tatap muka kucing nyawa,2021-04-19 01:25:14+00:00,32,pagi,1
59,uji cobak sekolah tatap muka muncul kasus baru sekolah itu lockdown libur anak gak tau tem sekolah sampai mereka lulus,2021-04-19 01:24:41+00:00,20,pagi,1
62,biasa sekolah kalo umum selalu dadak semalem jam tbtb umum hari masuk sekolah tatap muka give time buat cerna dulu loh,2021-04-19 00:16:37+00:00,21,pagi,1
63,saat ini gua benci banget sekolah tatap muka,2021-04-18 22:39:23+00:00,8,malam,1
64,anjir apa coba saat orang orang libur sekolah gue malah sekolah tatap muka magerr tau gaa mana bulan puasa walaupun gue sekarang cuti anj,2021-04-18 22:26:31+00:00,24,malam,1
65,apa cuma sekolah gue aja dari awal udh tatap muka,2021-04-18 22:06:06+00:00,10,malam,1
66,karna sekolah gue pilih ajar tatap muka jdi gin nih elah mana tadi saur,2021-04-18 21:58:23+00:00,14,malam,1
67,huhu hari sekolah nya tatap muka,2021-04-18 21:51:24+00:00,6,malam,1
68,suratno tegas sma negeri gondang terap bijak ajar tatap muka ptm sekolah,2021-04-18 21:47:32+00:00,12,malam,1
69,beneran udah sekolah tatap muka vaksin semua belum padahal vaksin belum kebal sama virus,2021-04-18 21:28:10+00:00,14,malam,1
70,jateng jatim angka testing tracing nya rendah patuh prokes nya rendah sudah ada tatap muka sekolah bulan lebih biar cuma nonton aja apa jadi kemudian nekat sekali mereka,2021-04-18 21:27:34+00:00,28,malam,1
71,suratno tegas sma negeri gondang terap bijak ajar tatap muka ptm sekolah tatap muka meski bagi guru tetap masuk sekolah sesuai bijak wfh wfo dinas didik jawa tengah,2021-04-18 21:26:46+00:00,28,malam,1
73,pulkam sendiri karna muk sekolah tatap muka,2021-04-18 21:09:53+00:00,7,malam,1
74,males sekolah tatap muka,2021-04-18 21:07:27+00:00,4,malam,1
75,artikel sekolah sebut ptm gus suratno tegas sma negeri gondang terap bijak ajar tatap muka ptm sekolah tatap muka,2021-04-18 21:03:42+00:00,19,malam,1
76,artikel sekolah sebut ptm suratno tegas sma negeri gondang terap bijak ajar tatap muka ptm sekolah tatap muka,2021-04-18 21:03:20+00:00,18,malam,1
77,gais mending lanjut tidur apa aku sekolah sih pagi mana tatap muka,2021-04-18 20:53:25+00:00,12,malam,1
78,sekolah tatap muka saat cepat jumlah screening daerah jauh kata ideal,2021-04-18 19:50:30+00:00,11,malam,1
79,maless sebenernya kakk huhuu terimakasih banyaak moga beneran tatap muka full satu sekolah tatap muka biar seru aamiin,2021-04-18 19:20:31+00:00,18,malam,1
80,hari aku sekolah tatap muka maless,2021-04-18 19:14:12+00:00,6,malam,1
81,besok sekolah tatap muka malas sekali,2021-04-18 16:24:12+00:00,6,siang,1
83,duh sekolah tetap paksa kbm tatap muka,2021-04-18 15:04:49+00:00,7,siang,1
85,gue baru inget kalo besok senin besok sekolah tatap muka,2021-04-18 14:54:57+00:00,10,siang,1
86,masa habis libur sekolah nya langsung tatap muka semua tpi males,2021-04-18 14:41:25+00:00,11,siang,1
87,mau nang kek mau mewek kek bodo mudik gak sekolah tatap muka gak bole promosi nonton bioskop,2021-04-18 13:53:13+00:00,17,siang,1
88,semangatin gue besok kbm tatap muka sekolah ajar pertama mtk wajib alias gue ngerti apa apa ajg,2021-04-18 13:23:01+00:00,17,siang,1
89,terlalu gegabah sangat riskan sekali saat ada sekolah kuliah tatap muka,2021-04-18 13:21:44+00:00,11,siang,1
90,yah aku mulai besok sekolah tatap muka,2021-04-18 13:18:17+00:00,7,siang,1
91,besok gue sekolah tatap muka jiakhh,2021-04-18 12:42:09+00:00,6,siang,1
92,hadeh besok dah sekolah tatap muka aja,2021-04-18 12:30:46+00:00,7,siang,1
93,nyit nyiapin protokol anak sekolah mau mulai tatap muka ngelu kan maen syap syap antar jemput pak anak,2021-04-18 12:14:24+00:00,18,siang,1
94,sekolah gue jadi bahan uji coba tatap muka mls bgt dhh,2021-04-18 11:53:31+00:00,11,siang,1
95,bsk sekolah tatap muka asw,2021-04-18 11:53:30+00:00,5,siang,1
96,iya gemes sih sebenernya gemes ken motong rambut kalo udah kuncir biasa udah gondrong kalo pandemi sekolah tatap muka udah jadi korban razia rambut sama guru,2021-04-18 11:43:27+00:00,26,siang,1
98,aku ken tatap muka takut paling bodoh sekolah,2021-04-18 10:23:21+00:00,8,siang,1
99,kaan kaan ortu maksa sekolah tatap muka mana kok komen,2021-04-18 09:26:19+00:00,10,siang,1
100,ngsh tau bapa negara bhwa juli mulai msuk sekolah tatap muka awal iya sok iya sok aja ujung tbtba awas jgn stres jaga hati utama abang suka liat berita kalo guru selingkuh kepsek lah guru olhrga lah hmm kola aja bom udh bawelin ajj,2021-04-18 08:51:13+00:00,44,pagi,1
101,plis gue siap kalo mulai besok sekolah udah tatap muka,2021-04-18 05:56:49+00:00,10,pagi,1
102,galo ketika besok anak bisa masuk sekolah tatap muka ndak mau motong rambut anak gondrong nya sayang banget,2021-04-18 05:11:49+00:00,18,pagi,1
107,bantu jawab sekolah tatap muka skrg awas nya beberapa tempat lebih jaga proto,2021-04-18 02:50:03+00:00,13,pagi,1
108,,2021-04-18 02:44:54+00:00,0,pagi,1
109,sanggup bayang ancam depan mudik lebaran mulai sekolah tatap muka apa alas,2021-04-18 02:25:17+00:00,12,pagi,1
110,kok sekolah tatap muka pas puasa anjg,2021-04-18 02:19:29+00:00,7,pagi,1
111,kok sangsi sekolah mau tatap muka kemaren aja liat pulang sekolah pake masker,2021-04-18 01:13:20+00:00,13,pagi,1
114,kalo aku sih bangett waktu kelas sekolah offline dulu jidat beruntus semua full iseng iseng waktu pandemi ajar skincare awal awam aku asal beli night cream sama toner pake toner ilang dong jadi mulus kinclong,2021-04-21 22:34:58+00:00,35,malam,1
115,kalo kelas offline since gue kenal deket sama seluruh staf jurus fakultas absen udh bawah minimal pake cara ninja ngopi soal tugas biasa tugas besar studio uts uas alhamdulillah sih gapernah miss emg males masuk kelas pagi bgt,2021-04-21 22:03:28+00:00,38,malam,1
116,tau moga pas naik kelas aja tkutnya suruh pas offline,2021-04-21 22:01:10+00:00,10,malam,1
118,apasii gajelas bgt anjngg nama anak kelas ngerasain sekolah offline aja bom bacotin segi,2021-04-21 12:10:25+00:00,14,siang,1
119,soal nih betul aku sdg alami salah satu oknum ngehasut temen kelas buat jauhin aku wkwkw jadi kek arghh males mau offline ketemu setann semua isi,2021-04-21 07:23:43+00:00,26,pagi,1
120,bener banget smt pertama kali offline dapet kelas lantai atas mulu bawa icd bisa lebih rasa definisi wkwk,2021-04-21 07:17:58+00:00,18,pagi,1
121,tai bgt hri kelas offline kampus anjir tinggal byk bgt hybe sabar dong,2021-04-21 06:58:22+00:00,13,pagi,1
122,bayang kalo kelas offline,2021-04-21 14:19:00+00:00,4,siang,1
123,gue baru inget kelas bakal uprak males bgt gila mending uprak online offline,2021-04-21 07:52:39+00:00,13,pagi,1
124,kelas offline jam baru bangun jam,2021-04-21 07:51:25+00:00,6,pagi,1
125,aku kelas praktek offline itu wajib soal kan ada tuju ortu terus kalau rumah jauh dikumpulin satu grup aku gatau sih solusi mereka gimana tanya aja kak cuman jangan cecer terus,2021-04-21 06:09:42+00:00,31,pagi,1
126,debat aja terus kelas online kelas offline penting saya sidang online wisuda offline hehe,2021-04-21 05:59:52+00:00,14,pagi,1
127,kalo prodi gua sih kayak sama aja deh nder deadlinenya sama cuma beda pas offline lebih kerepot karna kelas kelar sore jam trs waktu transport jam kalo macet istirahat nafas rumah jadi begadang kalo skrg kan santuy tuh,2021-04-21 03:31:57+00:00,38,pagi,1
128,kelas online gin telat menit bisa acc room zoom gatau kalo offline dah usir kali,2021-04-21 01:57:09+00:00,15,pagi,1
129,sukaa semenjak daring soal kalo offline aku tidur awal kelas kipas pas jam ajar dinyalain semua gimana gak ngantuk coba coba waktu kls,2021-04-20 14:07:13+00:00,23,siang,1
130,makin malas sekolhh tatap muka krna penyemngatnya beda kelas,2021-04-24 18:04:44+00:00,9,malam,1
134,takut hilang mahasiswa sampe bela bain kuliah offline padahal tangan pandemi aja blm becus kayak mau tanggung jawab aja kalo tinggal krn covid,2021-04-24 07:23:51+00:00,23,pagi,1
135,oke saat bikin janji kalo kuliah offline beli ngombe cuma kali minggu,2021-04-24 07:13:52+00:00,12,pagi,1
136,tidaak kuliah offline cuma hari minggu hahaha,2021-04-24 05:19:51+00:00,7,pagi,1
137,siap kuliah offline glowing soal,2021-04-24 04:20:28+00:00,5,pagi,1
138,liat berita covid makin aja ragu kuliah offline,2021-04-24 04:14:12+00:00,8,pagi,1
139,tuh bisa colong warga negara india masuk gua buka apa gua udh bosen online kayak gua sayang bayar kuliah gua mah offline biar gua banyak alam bukan rumah begini arghh aja heran bisa tahan bandara suruh balik,2021-04-24 03:39:33+00:00,37,pagi,1
140,gasiap kuliah offline,2021-04-22 02:15:11+00:00,3,pagi,1
141,kangen kuliah offline dlu,2021-04-22 01:40:58+00:00,4,pagi,1
142,kok rada takut klo kuliah offline huehuehue,2021-04-21 12:38:16+00:00,7,siang,1
143,mls kuliah offline hrus makeup tambah,2021-04-21 11:21:23+00:00,6,siang,1
144,siap kuliah offline udah nyaman online soal,2021-04-21 09:58:41+00:00,7,siang,1
145,mampus kuliah offline,2021-04-21 04:50:40+00:00,3,pagi,1
146,mahasiswa kapan kuliah offline prodi form kuliah praktikum luring mahasiswa panik,2021-04-21 02:39:39+00:00,11,pagi,1
147,usah kuliah offline woii udh nyaman ama ctrl,2021-04-20 17:11:09+00:00,8,malam,1
148,takut kuliah offline karna,2021-04-20 15:57:58+00:00,4,siang,1
150,astaghfirullah sekolah offline,2021-04-21 01:03:19+00:00,3,pagi,1
151,btw hari gue sekolah offline pliss,2021-04-20 22:43:47+00:00,6,malam,1
153,allah siap sekolah offline takut sering telat kek smp anjr paling gasik sampe seko jam,2021-04-20 15:21:06+00:00,15,siang,1
154,aku abis sekolah offline huhu,2021-04-20 05:54:01+00:00,5,pagi,1
155,gue ken masuk offline tuh dulu karna beneran kangen sekolah skrg udah biasa daring lebih enak jdi males offline jadinyaa,2021-04-20 05:51:03+00:00,20,pagi,1
156,kontra corona banyak klo sekolah offline takut tingkat ngorbanin nyawa orang lebih banyak,2021-04-20 04:30:12+00:00,13,pagi,1
157,mls sekolah offline astagfirullah,2021-04-20 03:54:54+00:00,4,pagi,1
158,males bgt puasa gin kuliah offline,2021-04-19 21:31:27+00:00,6,malam,1
159,moga kuliah nya offline aamiin online lebih gapapa,2021-04-19 14:08:09+00:00,8,siang,1
160,mau kuliah offline dulu ipk bagus gantung google yutub,2021-04-19 10:57:36+00:00,9,siang,1
161,benar kering uang aku semenjak kuliah offline,2021-04-19 09:27:36+00:00,7,siang,1
162,mau mlg aja gamau kuliah offline,2021-04-18 04:02:06+00:00,6,pagi,1
163,kulon aja impression aku aja dah buruk gimana kalo dah kuliah offline yah bully kali aku,2021-04-18 02:35:02+00:00,16,pagi,1
164,puasa ngedrop mana bsk kuliah offline,2021-04-18 02:34:30+00:00,6,pagi,1
166,anjir tanggal gue sekolah offline,2021-04-21 02:49:23+00:00,5,pagi,1
167,masa bulan udah sekolah offline benrr ajadongg,2021-04-21 02:25:44+00:00,7,pagi,1
168,gabutt scroll tiktok brain uji tugas makalah tanding sekolah offline galau kuliah les les les les,2021-04-20 11:10:15+00:00,16,siang,1
171,besok gwe sekolah offline males bgt,2021-04-19 11:16:57+00:00,6,siang,1
172,mager sekolah offline,2021-04-18 05:37:30+00:00,3,pagi,1
173,besok gue masuk sekolah offline nsxhisndkxiasksh takot,2021-04-18 04:48:17+00:00,7,pagi,1
174,yaampun denger juli sekolah udh tatap muka pas denger kabar kalau wna bondong bondong indonesia jadi kesel knp kesel karna udh muak sekolah online woey pihak tanggung jawab tegas wnanya,2021-04-24 06:30:46+00:00,30,pagi,1
175,masa uda mau list ortu tuju tatap muka sekolah,2021-04-24 04:07:25+00:00,9,pagi,1
176,besok sekolah tatap muka moga gak tidur aja,2021-04-22 16:07:20+00:00,8,siang,1
177,sekolah guasa tatap muka dulu cape rumah ajg gegara copid,2021-04-22 15:28:23+00:00,10,siang,1
178,yang hormat perintah cinta klarifikasi kena larang mudik larang tatap muka sekolah hal yang bentuk ramai tetap boleh mohon banget simpang siur juga masyarakat tidak pikir negatif,2021-04-22 15:06:21+00:00,27,siang,1
179,waspada second wave mutasi virus justru luar negeri sudah lebih longgar duluan indonesia tetap patuh prokes tunda tatap muka sekolah hingga awal tahun depan bahkan gila beberapa kampus kirim mahasiswamya ajar,2021-04-22 11:50:39+00:00,31,siang,1
180,prinsip depan mau sekolah gak tatap muka,2021-04-22 10:44:17+00:00,7,siang,1
181,lalu sbg orang tua panas akhir ngambil putus riskan bgt buat tatap muka awal sekolah tempat paling sulit kontrol ini taman kanak kanak,2021-04-21 15:47:26+00:00,23,siang,1
182,susah bgt balik zona hijau mentok zona kuning balik merah bayangin tuh pihak sekolah read aku pribadi gak mau ambil resiko jgn krna lihat sekolah paksa buat tatap muka entah sembunyi gak pake seragam segala macem,2021-04-21 15:46:00+00:00,36,siang,1
183,beberapa kali org tua usul sekolah tatap muka padahal jelas blm izin perintah tempat daerah syarat tatap muka guru sudah vaksin semua kita baru bagi jadwal bulan depan daerah sekolah selalu zona merah cont,2021-04-21 15:43:32+00:00,34,siang,1
184,bsk sekolah tatap muka mapel buat bsk tugas cuma lebih blm aku kerjain mampuss,2021-04-21 15:25:04+00:00,14,siang,1
185,makin malas sekolah tatap muka karna karna semangat nya beda sekolah,2021-04-21 14:37:11+00:00,11,siang,1
186,apa besok sekolah tatap muka kamiss yaallah dada bngt,2021-04-21 07:23:46+00:00,9,pagi,1
187,aduh smap udah mau tatap muka offline bntr sekolah gue,2021-04-21 06:41:08+00:00,10,pagi,1
188,frend aku frustasi sekolah lanjut tatap muka,2021-04-21 06:36:40+00:00,7,pagi,1
189,harraahh trus yok opo panik sekolah tatap muka sini,2021-04-21 06:29:59+00:00,9,pagi,1
190,anj lupa besok masuk sekolah tatap muka,2021-04-21 05:36:41+00:00,7,pagi,1
191,anjrottie tiba suruh ajar tatap muka sekolah mana tugas numpuk,2021-04-20 16:11:51+00:00,10,siang,1
192,males bgt sekolah tatap muka,2021-04-20 12:48:20+00:00,5,siang,1
193,sekolah tatap muka aja kena lockdown,2021-04-20 10:36:30+00:00,6,siang,1
194,ini bro gak jadi sekolah tatap muka,2021-04-20 10:27:32+00:00,7,siang,1
195,emosi antisipasi kait siap seleksi laku daerah sambut uji coba sekolah tatap muka muncul emosi trust percaya banyak cuit isi cuit dukung rencana uji coba ajar tatap muka batas,2021-04-20 08:06:36+00:00,29,pagi,1
196,kek masuk sekolah tatap muka sebentar tpi tugas blm selesai semua,2021-04-20 04:40:40+00:00,11,pagi,1
197,gilir mau tatap muka begini berita padahal gak siswa ajar tempat wisata mall karaoke pub buka gak berita ginian ratus karyawaan mall cafe tempat wisata karaoke positip covid bagi tinggal dunia negeri aneh sekolah aja,2021-04-20 02:22:25+00:00,35,pagi,1
201,tau aku inten lebih mahal buat kondisi pandemi kayak gin kayak lebih worth deh gantung nya sih krn aku ngambil kelas offline kalo anak mager kyk aku aku saranin inten krn inten nge wajib buat bikin bahas,2021-04-18 02:19:00+00:00,37,pagi,1
202,selasa dah sekolah tatap muka aku gapunya temen help padahal udah mau naik kelas,2021-04-18 15:41:49+00:00,14,siang,1
203,yakin mau kuliah negara iya gampang sih masuk lulus hidup mati uji online aja begini nilai offline ckckck,2021-04-24 19:24:04+00:00,18,malam,1
204,bener uda ambil kunci garek metu lho isoke ganti klambi siapa plis bantu keluar habit buruk gasiap kuliah offline lek ngene carae,2021-04-24 15:14:31+00:00,22,siang,1
205,bangun tidur ditanyain sarap takut makin manja gimana kalo jadi kuliah offline,2021-04-21 23:46:51+00:00,12,malam,1
206,yaallah please jgn dulu kuliah offline sampe sidang kompre,2021-04-21 04:21:53+00:00,9,pagi,1
207,anjir bokap maksa kuliah offline nyokap bilang september aja bodo gak udah ngisi,2021-04-21 04:17:07+00:00,13,pagi,1
208,gilee kuliah offline mulai mei osce offline dong bgt skill lab onlen osce offline,2021-04-21 03:40:52+00:00,14,pagi,1
209,minggu depan kuliah offline,2021-04-21 02:50:32+00:00,4,pagi,1
210,pertama kali kuliah offline allah niat mau cari ilmu malah insecure,2021-04-21 02:48:48+00:00,11,pagi,1
211,ken banget kuliah offline ken banget kuliah offline,2021-04-21 12:12:16+00:00,8,siang,1
212,lebih baik kabur tangerang selatan drpd kuliah offline,2021-04-21 11:47:26+00:00,8,siang,1
213,pliss gmau kuliah offline gasiap ketemu sama temen baru,2021-04-21 06:17:56+00:00,9,pagi,1
214,kok gue takut kuliah offline takut aja gitu tolol nya liat,2021-04-21 04:12:35+00:00,11,pagi,1
215,kangen dikit kuliah offline gue gak kangen kalo mau uji soal stress banget anjg,2021-04-19 08:50:14+00:00,14,pagi,1
216,pikir ntar kalo udah kuliah offline bakal capek kereta sidoarjo lidah wetan,2021-04-19 07:56:58+00:00,12,pagi,1
217,anjing kuliah offline nyata tahun lalu,2021-04-18 23:46:55+00:00,6,malam,1
218,kuliah offline aja dah gin,2021-04-18 21:34:45+00:00,5,malam,1
219,kalo misal kuliah offline siapa bakal nerusin warung payu,2021-04-18 21:01:40+00:00,9,malam,1
220,ken kuliah offline mager tugas malah makin banyak kuliah online rasa anggur masuk surga aja emang udah paling debest,2021-04-18 20:33:51+00:00,19,malam,1
221,kok aku tida siap kuliah offline ahahaha,2021-04-18 18:02:57+00:00,7,malam,1
222,kuliah offline perkoraan bentar takut gua mulai muncul,2021-04-18 14:11:25+00:00,8,siang,1
223,kambek pas aku jadi maba kuliah offline pls,2021-04-18 07:27:15+00:00,8,pagi,1
224,kadang mikir males kuliah offline,2021-04-18 07:26:13+00:00,5,pagi,1
225,gaenak bngt senin udh sekolah offline,2021-04-24 11:53:59+00:00,6,siang,1
226,senin udah masuk sekolah offline,2021-04-24 10:27:12+00:00,5,siang,1
227,huhu senin udah sekolah offline kalian gimana,2021-04-23 13:25:29+00:00,7,siang,1
228,yaallah males banget selasa udah sekolah offline,2021-04-23 13:02:40+00:00,7,siang,1
229,makin mager sekolah offline wkakaka,2021-04-23 11:59:23+00:00,5,siang,1
230,plis anjg gue sedih bgt sekolah offline gabakalan ketemu aksgajsg fak,2021-04-23 10:16:10+00:00,11,siang,1
231,halah percuma sekolah offline kasi duit jajan,2021-04-23 10:10:02+00:00,7,siang,1
232,sch guys minta semangat aku mau sekolah offline belum siap makasih banyak,2021-04-23 10:09:45+00:00,12,siang,1
234,bulan depan sekolah offline nanggung bet elah bapak guru semester depan aja,2021-04-23 04:51:31+00:00,12,pagi,1
235,diizinin sekolah offline another happiness for wakakakakak,2021-04-23 04:47:47+00:00,7,pagi,1
236,males sekolah offline bolos gas,2021-04-23 04:15:40+00:00,5,pagi,1
237,sekolah offline kuontoll,2021-04-23 04:06:33+00:00,3,pagi,1
238,gbsa hrus tidur bgimna alias pagi sekolah offline,2021-04-22 17:21:46+00:00,8,malam,1
239,gue gasiap pat offline anjrit sekolah gue udh pat offline say,2021-04-22 17:02:25+00:00,11,malam,1
240,lagi sekarang mah sekolah online sekolah offline aja dulu sampe les krn gak nyantol sama jelas guru mamak mau ngajarin anak pasti keburu adu bacot duluan sih alam ngajarin sepupu sendiri malah lebih banyak adu bacot urat drpd,2021-04-22 15:42:48+00:00,38,siang,1
242,masa sih tuju bener sekolah gue gaada tuju hshahhsaah rem sih mau offline,2021-04-22 02:07:04+00:00,13,pagi,1
243,allah baru inget besok jadwal sekolah offline,2021-04-21 13:43:47+00:00,7,siang,1
244,besok sekolah offline males bgtt,2021-04-21 13:39:42+00:00,5,siang,1
245,aku tuh gamau sekolah offline karna kalo online leboh produktif,2021-04-21 13:36:06+00:00,10,siang,1
246,bisa uji sekolah offline,2021-04-21 10:03:02+00:00,4,siang,1
247,padahal besok sekolah offline anjrit,2021-04-20 18:10:42+00:00,5,malam,1
248,aih males banget besok sekolah offline,2021-04-19 13:41:14+00:00,6,siang,1
249,allah gue mingdep uji offline alias sekolah anjg,2021-04-19 07:52:56+00:00,8,pagi,1
250,capek bgt sekolah offline,2021-04-19 03:24:05+00:00,4,pagi,1
251,kok enak banget gue malah sekolah offline,2021-04-19 03:08:54+00:00,7,pagi,1
